T_San123,T_Syokugyo,T_KiKibo,T_Age_10,Y_Income,Food,LFW,Clothes,Transport,Recreation
1,0,0,1,3161.92766,45073.87899,12775.75224,4977.01551,24607.50819,24535.02242
1,0,0,1,2905.247996,50089.54011,23332.58822,12406.03055,21939.5066,6985.671157
1,0,0,1,3472.113844,37594.84591,19175.11649,3777.902217,17647.3398,12328.38399
1,0,0,1,3211.140609,64389.1387,9202.263269,15222.91182,21806.23077,28466.66027
1,0,0,1,2642.875733,31289.70443,10747.59993,4660.877545,23439.34858,2620.195904
1,0,0,2,5491.032472,44393.8778,12598.29873,4130.518245,83206.16447,8545.446094
1,0,0,2,7261.674492,43070.20808,19771.52768,39788.96068,59445.84184,32178.99893
1,0,0,2,3372.536355,37819.63532,16645.81334,3647.281976,34901.87942,13223.93683
1,0,0,2,4539.057707,47560.13053,15574.78265,13965.18999,20314.4581,23584.95611
1,0,0,2,1602.33914,37521.39772,13138.05056,10076.88483,47480.73617,25185.48824
1,0,0,2,5964.382859,83807.30021,22924.98893,62501.82033,65175.31656,13679.35673
1,0,0,2,3368.801449,71051.76191,16351.26261,6331.867308,26976.6412,17968.71274
1,0,0,2,2973.431187,33873.37766,20227.28724,10084.83923,28108.21831,11228.86531
1,0,0,2,2441.335382,75588.88519,15373.65224,4529.803779,56931.79575,16962.42774
1,0,0,2,3828.300744,67830.68817,19061.23256,8593.249479,73180.85381,18545.92618
1,0,0,2,5738.934303,79892.94041,20507.29292,22004.27448,17917.45266,32743.99377
1,0,0,2,4408.39457,79760.37074,32869.98456,13615.15519,85715.87576,29678.64428
1,0,0,2,5154.482918,89061.31992,18217.05867,14808.47575,20972.97375,52269.63327
1,0,0,2,3844.717898,79323.14261,15833.40946,42958.36281,63817.8187,59267.37061
1,0,0,2,6413.367543,75239.92145,33147.9153,29678.90745,40101.91773,15546.40081
1,0,0,2,3635.356236,36948.40538,15725.70247,4631.593014,62536.41264,12782.84186
1,0,0,2,3310.141283,49729.08371,14955.19256,4563.402584,14923.90741,26933.12649
1,0,0,2,4391.213379,28300.70579,9348.174693,11356.24996,52883.17805,24136.34949
1,0,0,2,3954.1439,43260.09268,7575.342869,15380.40927,49539.5458,15321.57064
1,0,0,2,3837.192533,36004.99858,22480.9361,5493.926946,13156.18515,10490.89962
1,0,0,2,6073.509842,97075.3958,21101.60897,6484.923832,43623.06184,22561.03198
1,0,0,2,4575.183247,97316.5929,20924.25981,10471.99053,58316.63171,42882.48821
1,0,0,2,4642.570397,65529.8844,22522.26683,5450.240586,26699.01058,16814.6388
1,0,0,2,3907.383331,36553.03051,10424.96225,5535.898065,39227.53179,24830.29177
1,0,0,2,4203.057107,60172.61245,9656.427204,24055.55296,20286.06932,21748.17408
1,0,0,2,5513.576946,57221.74029,16563.58805,94087.80313,58035.43634,37863.36766
1,0,0,2,2953.45305,36580.6865,24313.69179,8570.853404,40382.77383,21153.07483
1,0,0,2,4599.25014,79240.135,14806.94218,59288.1312,22416.38725,9716.099088
1,0,0,2,4769.075924,53832.28236,15475.22828,10877.03171,36766.91368,28696.49154
1,0,0,2,2809.080157,46433.49392,13771.71807,6070.299417,22885.38081,9208.097256
1,0,0,2,15583.0902,119863.8837,19240.1285,26295.68611,49323.50826,58268.8448
1,0,0,2,4023.463473,54120.32379,17669.85838,3556.635479,43142.90738,11542.4108
1,0,0,2,4113.482325,83554.72091,15479.50196,21029.99399,44016.10948,19917.42201
1,0,0,2,3060.920393,58470.90348,13773.29849,7106.997888,47349.61144,42315.89058
1,0,0,2,7736.026101,46365.69791,23062.54314,3825.575956,37010.03531,39499.9659
1,0,0,2,3700.645695,60837.37894,25367.484,27201.60626,43937.43014,21706.76403
1,0,0,2,2736.368347,37861.60323,17414.94349,26042.83539,23503.56687,26579.12779
1,0,0,3,9562.155532,33009.85729,29497.70662,7639.094425,55245.74348,13945.04021
1,0,0,3,2795.328464,69158.59946,12699.41047,13362.56844,20354.92793,25967.02029
1,0,0,3,5415.46051,58213.77171,19635.85789,6461.477739,26685.77265,1792.105183
1,0,0,3,5137.568981,54147.77763,13669.95579,3225.514397,49888.2507,4570.437794
1,0,0,3,3745.387448,50529.66485,30989.36595,10490.50745,27673.92562,3441.533604
1,0,0,3,4852.990859,56962.95379,18860.164,13770.88479,43709.67188,10271.22847
1,0,0,3,5715.282073,41980.09605,5559.605451,3508.721571,38701.0747,12506.96691
1,0,0,3,10605.75116,109270.0544,13290.06656,12260.38298,38651.96171,10989.64379
1,0,0,3,5354.551084,72578.27066,17328.35868,7336.035142,23869.01799,15094.22511
1,0,0,3,14488.25919,122246.3292,60004.40663,14676.56576,47184.83267,58897.20943
1,0,0,3,7047.167956,76963.58542,17946.31299,29834.49858,52472.2381,31167.42211
1,0,0,3,4734.145669,41636.11504,17460.20763,2844.951212,39404.3321,10187.86606
1,0,0,3,16516.28406,182435.7813,29733.0503,14228.78411,32709.18672,35359.13575
1,0,0,3,9113.398671,124713.2738,55997.53336,23830.19264,35028.10757,23986.78894
1,0,0,3,5773.971667,82136.61175,9647.04719,16060.7695,146221.719,40283.12683
1,0,0,3,4086.548908,61007.81064,45195.19358,7083.249046,35811.32399,57025.21565
1,0,0,3,5358.799015,42625.74072,18868.83647,6786.418064,38058.73292,33074.70243
1,0,0,3,5057.215266,65119.96266,23788.73833,31585.96263,8478.374127,10321.6174
1,0,0,3,4369.640681,45595.38293,10478.35409,4348.804068,14348.62725,11919.66801
1,0,0,3,3217.172108,43780.36432,22155.56936,2791.635703,39020.76307,42074.97303
1,0,0,3,6332.836515,47577.05854,35417.51177,10574.03921,49329.50169,18514.4235
1,0,0,3,8289.048149,60171.0139,39683.4407,9689.059377,16066.84752,11286.21552
1,0,0,3,2747.433152,84523.46468,26549.70216,2670.296072,37134.32278,7880.677058
1,0,0,3,10669.60467,54650.65868,47891.82434,19475.08456,35956.5123,4223.685863
1,0,0,3,6065.152568,92462.08257,25660.75489,18437.76826,90933.7549,19056.72341
1,0,0,3,4973.670638,57746.13955,29618.08581,4989.528432,18558.2618,11263.58644
1,0,0,3,2825.255045,35719.98035,10249.75559,21108.19066,21387.01846,24521.8989
1,0,0,3,6552.877843,64110.75454,21283.46856,4366.724224,9149.867917,8221.492159
1,0,0,3,2646.45978,101404.4702,43150.51746,6461.509068,34933.33617,13595.4973
1,0,0,3,4541.438964,106298.1794,31610.74808,10033.38981,29233.14891,20905.59898
1,0,0,3,5661.411891,49248.89259,69200.44171,6122.962587,49819.62079,13935.9084
1,0,0,3,7676.163388,56762.94639,13197.87284,4205.392796,71106.17944,16344.97691
1,0,0,3,5300.7004,42189.56097,20058.32123,1062.752832,15490.72402,11443.87446
1,0,0,3,5146.190214,49380.46428,17670.54285,3928.84323,20088.74753,16680.51738
1,0,0,3,6511.450349,46655.60252,9935.031682,35830.24122,13826.36186,73411.5313
1,0,0,3,1873.04956,27867.75347,9519.14752,4969.737572,18350.32141,1020.698769
1,0,0,3,7308.580311,75661.15557,21754.84747,2000.489064,9025.708032,30517.06816
1,0,0,3,3589.430161,41498.92246,18837.79371,2792.500853,87569.50623,8539.448177
1,0,0,3,4782.581794,83950.1347,29783.5681,6075.244264,24432.84698,24448.17208
1,0,0,3,3512.359355,51199.65885,29165.92102,2614.386819,30877.73287,4498.231621
1,0,0,3,6774.032307,90577.26667,15866.67723,9092.189827,59027.2931,13904.84951
1,0,0,4,5419.258197,72045.31895,18718.93469,5775.56981,82807.30493,23870.82519
1,0,0,4,4678.783831,39736.12688,13623.21977,7446.97873,50427.69401,27036.53037
1,0,0,4,11002.0205,91208.83038,9950.864006,19747.41385,31856.93898,23399.33262
1,0,0,4,5658.782431,43558.85552,26081.35375,989.696781,12198.48818,5745.973194
1,0,0,4,6661.112667,58259.82254,16317.89558,2314.28574,17615.45029,13184.79688
1,0,0,4,4197.783953,27906.08144,12438.9379,12928.29971,35398.27784,8522.337082
1,0,0,4,5537.480286,45373.8749,13919.47517,3785.683897,9948.441992,12631.75447
1,0,0,4,6744.336921,78248.85943,15110.84063,4569.892099,32325.00277,40325.4574
1,0,0,4,5528.718496,62473.73907,26318.36079,2441.868006,27080.14107,8497.141372
1,0,0,4,4068.588748,62682.18891,13086.05203,11438.16606,14498.23917,5686.424769
1,0,0,4,6418.624078,51379.57818,12601.53236,12856.67251,56124.96071,27777.34605
1,0,0,4,3724.320218,27852.7171,13389.35858,1877.048236,12698.02457,4750.60511
1,0,0,4,8481.092793,97149.19153,33702.53665,38965.3223,182422.1011,16277.19923
1,0,0,4,7510.812195,69522.50789,15352.40658,8741.190706,48273.95308,3740.804289
1,0,0,4,5502.283288,53170.25082,15848.85881,6663.95838,9381.631022,21298.69844
1,0,0,4,8339.392678,75045.12596,18140.82209,12866.28174,30827.26898,24797.60489
1,0,0,4,8016.675582,70773.26139,19873.57129,10685.60658,20636.92454,45300.26049
1,0,0,4,8173.897166,127927.6846,26333.87153,16994.46465,16168.60269,70898.12481
1,0,0,4,4823.763464,63331.68167,16999.66514,34243.67715,46739.55851,15834.9897
1,0,0,4,8011.140573,51084.52144,23785.07482,9808.062317,25788.40166,9722.879601
1,0,0,4,9268.34674,51493.87778,18848.81548,9707.166388,27235.32202,37419.77483
1,0,0,4,8049.913054,67747.76859,33779.4228,11813.31532,47173.46631,19513.29184
1,0,0,4,5424.330546,44183.6462,22799.80212,21408.79331,7116.398619,24186.10215
1,0,0,4,11538.20921,46065.5811,13720.61313,12245.73411,4746.110823,22770.53935
1,0,0,4,5591.737223,47803.84876,14346.8535,4028.05788,29067.01571,20755.8445
1,0,0,4,11115.98913,52006.20141,15983.95964,7604.361672,82205.01118,6711.880318
